Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
30,1,2006,9.86,7.63,98.84,0.02,0.31,24.20,5.66
31,1,2006,9.00,7.91,98.98,-0.03,0.36,30.80,5.48
1,2,2006,10.55,4.56,94.79,0.43,3.21,7.88,1.48
2,2,2006,12.06,2.78,85.24,0.94,9.85,0.06,0.63
3,2,2006,15.96,0.08,80.63,1.20,12.75,0.00,2.55
4,2,2006,11.27,2.13,91.10,0.46,3.84,1.65,1.87
5,2,2006,10.84,1.18,91.00,0.59,5.84,2.17,1.49
6,2,2006,9.40,4.86,87.32,1.09,9.07,8.06,4.81
7,2,2006,8.98,0.86,89.10,0.65,4.42,3.86,1.96
8,2,2006,16.06,-1.82,77.60,1.25,13.73,0.00,1.96
9,2,2006,15.96,-0.71,78.88,1.42,15.62,0.00,1.37
10,2,2006,13.83,1.41,86.15,1.11,14.05,0.02,1.30
11,2,2006,12.70,2.88,89.47,1.30,15.12,0.10,1.35
12,2,2006,9.63,2.23,88.88,0.62,5.76,0.63,1.56
13,2,2006,9.93,2.72,87.66,0.87,9.00,0.22,1.70
14,2,2006,14.87,-1.56,77.48,1.52,15.91,0.01,2.10
15,2,2006,15.33,-0.71,78.88,1.53,16.16,0.00,2.71
16,2,2006,17.14,0.06,77.46,1.73,16.39,0.02,3.50
17,2,2006,13.25,5.19,86.90,0.82,9.32,0.29,3.04
18,2,2006,13.06,3.50,83.03,1.12,11.12,0.06,3.45
19,2,2006,15.76,0.13,75.28,1.63,13.80,0.45,4.64
20,2,2006,11.26,1.94,78.64,1.20,12.43,0.53,3.90
21,2,2006,11.40,1.20,82.09,1.37,13.84,1.89,3.31
22,2,2006,7.46,-0.24,89.40,1.03,6.15,3.69,3.11
23,2,2006,9.83,-0.90,75.10,1.72,15.94,1.75,5.23
24,2,2006,7.07,1.50,83.34,1.37,8.18,10.94,6.67
25,2,2006,10.02,2.25,69.67,1.76,16.44,0.08,6.08
26,2,2006,10.41,2.09,85.11,0.89,9.88,5.59,3.16
27,2,2006,12.08,4.50,84.37,1.18,7.56,6.41,6.67
28,2,2006,9.07,0.09,82.27,1.53,14.71,13.34,4.92
1,3,2006,10.75,-3.28,77.54,1.45,17.07,0.00,2.81
2,3,2006,11.38,-0.89,79.36,1.37,14.60,0.23,3.58
3,3,2006,14.08,-1.63,80.92,1.33,14.19,0.02,1.87
4,3,2006,17.26,0.44,77.48,1.87,18.82,0.01,2.33
5,3,2006,13.85,3.31,71.82,1.95,13.07,1.49,7.44
6,3,2006,8.44,2.76,78.87,1.36,7.85,3.31,6.80
7,3,2006,8.93,1.98,77.62,1.29,9.30,2.94,5.49
8,3,2006,15.26,-0.57,79.21,1.74,18.99,0.00,2.74
9,3,2006,20.43,1.88,76.20,2.26,19.57,0.00,2.41
10,3,2006,12.39,4.69,76.74,1.53,13.85,0.45,4.48
11,3,2006,13.63,3.61,78.65,1.89,17.95,2.58,7.28
12,3,2006,13.68,4.19,78.97,2.06,19.58,0.00,1.94
13,3,2006,19.98,1.80,75.80,2.25,20.60,0.00,0.92
14,3,2006,18.50,4.02,79.88,2.13,20.43,0.00,1.16
15,3,2006,18.50,3.75,76.70,2.18,21.29,0.01,1.00
16,3,2006,20.10,4.31,79.70,2.18,21.11,0.00,1.23
17,3,2006,20.06,6.61,82.00,2.20,21.05,0.02,1.27
18,3,2006,18.92,7.81,87.02,1.27,12.58,0.11,1.53
19,3,2006,18.27,6.53,78.16,1.98,17.55,0.13,3.17
20,3,2006,18.28,6.07,78.12,2.11,19.49,1.88,2.22
21,3,2006,15.08,6.15,85.49,1.77,13.02,8.88,2.55
22,3,2006,12.55,6.19,85.66,1.98,12.53,6.88,6.09
23,3,2006,19.07,5.51,74.72,2.75,22.27,0.20,1.83
24,3,2006,22.39,4.99,72.82,2.91,21.86,0.00,3.05
25,3,2006,18.79,7.99,80.70,2.44,22.24,0.00,2.62
26,3,2006,27.40,6.62,67.29,3.32,23.01,0.00,1.99
27,3,2006,29.31,7.03,64.06,3.39,23.07,0.00,1.54
28,3,2006,18.11,7.35,74.76,2.33,20.67,0.00,3.24
29,3,2006,19.23,5.00,77.93,2.40,23.09,0.00,1.42
30,3,2006,23.83,6.05,68.77,2.90,22.97,0.00,1.24
31,3,2006,24.77,7.31,67.81,2.92,23.34,0.00,1.56
1,4,2006,25.60,8.34,69.72,2.86,23.51,0.00,1.46
2,4,2006,24.15,9.84,69.85,2.69,23.27,0.00,1.14
3,4,2006,24.32,9.70,68.98,2.49,22.29,0.00,1.43
4,4,2006,31.20,11.33,61.60,2.88,20.66,0.02,2.68
5,4,2006,20.10,8.93,73.07,1.72,19.53,0.02,2.60
6,4,2006,18.84,8.16,74.74,1.61,18.20,1.40,4.31
7,4,2006,14.41,7.45,84.81,1.10,8.70,1.59,3.54
8,4,2006,26.60,4.12,57.75,2.96,24.38,0.02,4.11
9,4,2006,33.14,12.05,43.44,3.12,22.20,0.01,5.26
10,4,2006,22.12,13.97,74.60,1.37,14.37,0.03,1.15
11,4,2006,22.71,8.96,70.63,2.03,22.16,1.44,5.20
12,4,2006,15.88,7.40,73.05,1.86,24.95,0.22,3.38
13,4,2006,16.72,7.07,69.45,1.68,23.81,0.25,3.10
14,4,2006,27.20,4.40,45.43,2.27,21.76,0.00,4.50
15,4,2006,27.46,10.48,53.74,1.85,17.42,0.00,2.29
16,4,2006,23.09,10.86,71.99,1.49,22.78,0.92,2.16
17,4,2006,13.89,9.43,96.63,0.69,1.99,5.10,2.99
18,4,2006,16.96,9.25,84.53,1.97,17.46,1.32,2.35
19,4,2006,24.24,8.52,75.96,2.27,18.24,0.70,1.77
20,4,2006,19.20,8.69,82.78,2.04,23.02,0.27,2.23
21,4,2006,23.83,7.04,63.13,2.93,26.47,0.05,1.85
22,4,2006,22.73,11.68,76.34,1.51,11.67,3.13,3.83
23,4,2006,13.03,7.07,92.46,0.89,3.91,9.31,3.91
24,4,2006,16.52,7.66,79.99,1.99,15.58,0.51,5.83
25,4,2006,15.28,10.91,90.79,1.55,9.05,7.66,5.49
26,4,2006,18.58,9.27,79.33,2.76,21.67,0.52,1.75
27,4,2006,17.63,9.03,85.19,1.88,15.82,0.66,2.21
28,4,2006,17.71,7.09,77.61,2.58,24.48,0.00,1.70
29,4,2006,20.39,5.89,71.25,3.11,27.60,0.12,1.80
30,4,2006,18.24,9.58,78.37,2.66,26.83,0.46,2.00
1,5,2006,17.64,8.49,74.72,2.33,26.33,0.11,1.55
2,5,2006,26.14,7.26,58.67,2.97,27.12,0.00,2.27
3,5,2006,22.03,13.81,65.79,1.82,10.13,8.11,5.78
4,5,2006,18.58,11.75,89.62,1.96,14.16,8.58,3.01
5,5,2006,18.79,13.37,84.89,2.54,19.25,2.40,3.95
6,5,2006,17.15,11.76,88.15,1.43,10.80,1.40,2.59
7,5,2006,16.38,9.49,85.90,1.88,15.00,0.59,2.25
8,5,2006,19.45,6.87,81.24,2.84,27.12,0.03,1.72
9,5,2006,25.55,7.79,67.86,3.47,26.99,0.00,1.82
10,5,2006,28.87,10.34,64.39,3.65,27.55,0.00,2.30
11,5,2006,31.36,11.61,54.26,3.57,27.35,0.00,3.30
12,5,2006,30.76,13.71,54.15,2.85,23.96,0.00,2.52
13,5,2006,31.65,14.12,50.42,2.76,26.94,0.00,1.91
14,5,2006,32.80,14.44,44.64,2.56,28.21,0.00,1.73
15,5,2006,34.38,14.34,37.20,2.49,28.35,0.00,2.28
16,5,2006,35.65,15.30,32.17,2.27,28.53,0.00,3.39
17,5,2006,36.82,15.58,28.73,2.30,28.66,0.00,2.60
18,5,2006,37.68,16.41,26.46,2.30,28.81,0.00,2.49
19,5,2006,34.24,16.71,46.94,1.76,27.72,0.00,2.15
20,5,2006,29.02,18.14,66.77,1.36,26.67,0.03,1.59
21,5,2006,38.80,18.36,52.62,1.82,28.25,0.17,1.68
22,5,2006,32.69,19.53,52.40,1.67,25.42,1.30,1.93
23,5,2006,27.16,17.33,67.47,2.35,27.62,0.88,2.95
24,5,2006,20.54,15.59,78.74,1.68,15.38,2.58,5.68
25,5,2006,21.72,14.66,68.06,1.80,14.37,2.36,4.80
26,5,2006,26.40,14.04,69.84,2.47,27.84,0.01,2.34
27,5,2006,32.16,16.35,51.84,2.67,23.42,0.87,1.77
28,5,2006,32.20,18.74,53.97,2.51,21.47,1.33,1.40
29,5,2006,33.22,19.31,50.25,3.00,26.93,1.16,1.64
30,5,2006,28.60,15.91,59.60,1.60,27.52,0.00,3.64
31,5,2006,24.75,14.56,61.74,1.36,28.15,2.02,5.04
1,6,2006,20.45,12.41,62.75,2.26,25.31,2.15,5.89
2,6,2006,20.64,11.83,66.88,1.64,27.87,0.02,3.37
3,6,2006,20.75,11.52,67.14,1.42,28.28,0.21,2.98
4,6,2006,21.57,9.51,57.09,1.22,29.12,0.01,2.12
5,6,2006,28.60,9.09,33.89,1.43,29.31,0.00,2.14
6,6,2006,30.42,12.34,33.49,1.25,29.28,0.00,2.47
7,6,2006,30.85,14.27,28.57,1.25,29.03,0.00,2.01
8,6,2006,36.77,15.59,26.60,1.50,27.87,0.00,1.78
9,6,2006,37.41,19.02,30.11,1.40,22.87,0.42,2.84
10,6,2006,28.34,17.69,62.07,0.92,20.24,0.09,2.81
11,6,2006,27.60,15.38,73.64,0.89,27.65,0.03,2.14
12,6,2006,37.84,15.94,39.36,1.45,27.91,0.00,2.62
13,6,2006,37.22,22.23,36.19,1.63,20.36,1.14,4.30
14,6,2006,38.07,21.52,31.82,1.72,15.45,0.67,5.57
15,6,2006,40.62,22.46,28.69,1.40,17.65,0.50,4.62
16,6,2006,29.51,17.83,62.24,1.33,27.46,0.23,2.61
17,6,2006,28.20,17.28,55.22,0.96,28.48,0.00,2.83
18,6,2006,26.95,15.58,60.53,0.87,25.70,0.40,2.37
19,6,2006,40.86,19.44,18.30,1.57,23.48,0.00,4.69
20,6,2006,40.81,23.20,23.87,1.51,27.68,0.07,6.54
21,6,2006,41.50,23.00,21.10,1.41,28.73,0.00,4.78
22,6,2006,41.83,24.70,17.87,1.47,28.02,0.00,4.05
23,6,2006,42.00,24.08,19.46,1.50,26.99,0.00,3.06
24,6,2006,43.48,22.53,18.39,1.68,29.15,0.44,2.79
25,6,2006,43.99,23.66,23.42,1.81,29.45,0.01,3.36
26,6,2006,42.73,21.96,32.15,1.31,25.59,0.00,1.80
27,6,2006,43.29,26.42,20.99,1.48,28.21,0.00,3.00
28,6,2006,40.93,25.03,24.91,1.25,28.34,0.00,2.43
29,6,2006,35.92,23.30,38.99,1.05,28.25,0.00,1.71
30,6,2006,40.18,21.12,34.87,1.30,28.57,0.23,2.05
1,7,2006,40.35,24.90,30.81,1.33,27.53,0.02,1.61
2,7,2006,44.44,26.26,18.98,1.33,25.85,0.16,3.28
3,7,2006,44.54,29.66,15.91,1.29,20.79,0.05,2.18
4,7,2006,43.22,27.78,23.13,1.16,22.63,0.09,3.86
5,7,2006,42.41,26.13,18.67,1.18,26.71,0.00,4.60
6,7,2006,42.63,22.81,17.74,1.26,28.00,0.00,3.06
7,7,2006,42.58,23.94,15.66,1.25,27.81,0.00,2.68
8,7,2006,43.70,24.32,17.55,1.30,28.09,0.00,1.92
9,7,2006,41.37,25.52,27.66,1.18,27.70,0.00,1.74
10,7,2006,41.66,25.42,27.64,1.16,27.72,0.00,2.23
11,7,2006,34.94,24.01,40.88,0.78,27.45,0.00,2.57
12,7,2006,35.33,22.22,36.36,0.79,25.74,0.00,2.77
13,7,2006,37.23,21.51,30.59,0.93,27.43,0.00,2.61
14,7,2006,37.17,23.07,29.14,0.90,26.39,0.00,2.82
15,7,2006,35.54,22.57,40.37,0.80,26.82,0.00,3.09
16,7,2006,32.35,20.75,51.86,0.66,27.27,0.00,2.60
17,7,2006,33.42,20.26,49.18,0.68,26.62,0.00,2.54
18,7,2006,34.94,22.51,42.15,0.78,26.74,0.00,2.38
19,7,2006,39.04,23.08,36.57,0.93,25.14,0.00,2.38
20,7,2006,35.54,24.87,54.00,0.71,25.06,0.00,1.96
21,7,2006,35.97,24.00,61.28,0.68,26.10,0.00,1.65
22,7,2006,35.70,23.37,50.51,0.70,26.70,0.00,1.99
23,7,2006,32.68,20.86,56.52,0.60,26.92,0.00,1.82
24,7,2006,34.33,20.16,51.68,0.66,26.90,0.00,1.81
25,7,2006,35.84,21.14,34.84,0.75,26.52,0.00,2.25
26,7,2006,36.33,22.90,44.40,0.69,25.30,0.00,2.05
27,7,2006,39.82,23.40,43.00,0.87,24.83,0.02,2.17
28,7,2006,41.82,25.50,37.09,1.04,21.74,0.25,3.20
29,7,2006,33.50,23.57,70.88,0.64,24.14,0.05,1.99
30,7,2006,38.45,24.15,50.50,0.77,25.94,0.00,1.79
31,7,2006,37.13,24.54,50.00,0.71,25.80,0.00,1.75
1,8,2006,34.46,22.17,62.28,0.63,26.03,0.00,2.10
2,8,2006,31.48,21.43,71.40,0.73,24.26,0.34,2.26
3,8,2006,35.61,21.05,58.53,0.71,25.58,0.11,2.76
4,8,2006,27.12,19.04,67.66,0.63,19.10,0.37,4.63
5,8,2006,29.87,16.24,62.34,0.56,25.77,0.00,3.40
6,8,2006,30.94,17.70,62.28,0.52,25.68,0.00,2.72
7,8,2006,29.85,16.71,55.55,0.50,26.00,0.00,2.98
8,8,2006,32.49,16.56,47.47,0.58,25.08,0.00,2.37
9,8,2006,32.16,18.03,51.84,0.54,25.42,0.00,2.59
10,8,2006,36.65,18.86,41.59,0.75,25.12,0.38,1.72
11,8,2006,28.63,20.63,71.83,0.76,20.21,0.34,3.51
12,8,2006,29.79,20.18,61.18,0.65,20.57,0.22,3.06
13,8,2006,28.57,19.32,63.59,0.54,24.45,0.00,2.29
14,8,2006,32.06,20.31,52.53,0.47,18.58,0.00,2.00
15,8,2006,30.50,22.30,57.90,0.54,20.39,0.14,2.35
16,8,2006,32.26,18.98,61.07,0.49,24.27,0.00,2.17
17,8,2006,27.06,19.21,74.36,1.90,16.86,4.95,2.05
18,8,2006,26.53,18.98,76.89,2.31,22.37,2.09,2.75
19,8,2006,22.48,19.19,91.25,1.30,4.69,5.47,2.21
20,8,2006,23.20,19.48,92.90,1.04,4.02,3.00,3.70
21,8,2006,26.03,17.34,78.65,2.47,19.89,0.60,4.39
22,8,2006,29.23,16.63,72.93,2.43,23.04,0.00,1.97
23,8,2006,29.36,17.22,76.17,1.99,23.47,0.01,1.58
24,8,2006,32.37,19.84,71.03,1.60,17.84,0.53,1.75
25,8,2006,28.20,18.69,79.51,1.31,22.06,0.27,1.82
26,8,2006,27.19,16.81,80.11,0.82,22.10,0.05,2.12
27,8,2006,26.24,17.11,70.33,0.70,22.41,0.10,2.34
28,8,2006,28.08,14.49,62.82,0.59,23.28,0.00,1.49
29,8,2006,32.74,16.54,45.19,0.65,22.86,0.00,1.49
30,8,2006,31.68,18.57,58.90,0.50,22.84,0.07,2.91
31,8,2006,30.34,18.45,66.88,0.47,21.43,0.02,2.37
1,9,2006,31.99,18.31,53.15,0.55,23.42,0.00,1.59
2,9,2006,34.01,17.65,30.74,0.66,23.85,0.00,1.69
3,9,2006,35.37,18.94,32.91,0.64,21.23,0.00,1.57
4,9,2006,32.06,19.15,52.51,0.50,22.44,0.00,1.94
5,9,2006,34.73,19.43,43.89,0.62,22.44,0.00,1.78
6,9,2006,35.17,20.48,39.41,0.63,22.44,0.00,1.52
7,9,2006,36.01,21.53,45.64,0.53,15.54,0.10,2.19
8,9,2006,30.84,22.68,49.01,0.34,8.52,0.08,1.12
9,9,2006,32.56,20.56,57.63,0.57,19.06,0.09,1.61
10,9,2006,30.32,19.81,73.22,1.37,19.10,2.36,1.07
11,9,2006,31.56,19.28,60.42,1.76,19.55,0.82,2.02
12,9,2006,28.47,19.70,71.35,1.43,10.18,2.70,3.13
13,9,2006,28.27,19.87,73.15,1.58,13.56,1.55,1.48
14,9,2006,23.84,19.32,91.89,0.73,2.38,32.89,2.21
15,9,2006,23.37,16.02,85.30,1.98,14.40,0.55,2.27
16,9,2006,22.69,15.40,83.48,1.97,15.16,0.48,1.65
17,9,2006,26.01,13.13,80.28,2.40,20.20,0.03,1.38
18,9,2006,27.51,14.76,76.68,2.36,20.64,0.00,1.17
19,9,2006,30.59,16.34,74.53,2.52,20.15,0.13,2.63
20,9,2006,29.05,20.41,73.16,1.70,10.84,0.92,1.78
21,9,2006,31.89,19.65,52.58,2.90,19.87,0.34,4.92
22,9,2006,32.16,21.55,58.58,2.21,13.72,0.44,3.57
23,9,2006,33.40,20.18,72.72,2.09,19.30,0.66,2.55
24,9,2006,24.65,18.58,77.83,1.46,16.84,0.23,2.43
25,9,2006,23.53,17.35,86.13,0.79,9.38,0.33,2.39
26,9,2006,24.45,16.07,83.14,1.01,10.70,0.56,2.76
27,9,2006,25.84,14.43,76.97,1.28,18.88,0.00,1.52
28,9,2006,26.54,15.61,75.79,1.15,17.82,0.00,1.27
29,9,2006,27.41,16.25,76.81,1.03,18.61,0.00,1.19
30,9,2006,32.85,16.65,70.30,1.21,18.17,0.00,1.17
1,10,2006,29.48,18.21,74.48,0.93,19.32,0.00,1.26
2,10,2006,36.19,17.94,53.17,1.29,18.18,0.27,1.27
3,10,2006,37.30,19.01,56.59,1.07,16.54,0.08,2.01
4,10,2006,24.33,17.37,66.33,0.49,10.58,0.38,4.72
5,10,2006,21.23,13.68,79.02,0.65,13.02,1.20,2.31
6,10,2006,20.12,12.27,79.29,0.87,12.81,0.05,1.43
7,10,2006,24.05,10.94,63.47,0.99,18.41,0.00,1.28
8,10,2006,23.81,12.80,70.04,0.75,18.13,0.00,1.90
9,10,2006,22.09,11.91,77.70,0.57,15.50,0.05,1.80
10,10,2006,25.17,10.58,65.81,0.70,18.23,0.01,1.48
11,10,2006,22.85,14.63,71.03,0.48,10.73,0.55,3.15
12,10,2006,19.70,15.16,88.47,1.62,10.30,8.35,1.86
13,10,2006,19.51,13.70,83.43,1.32,11.39,0.41,1.55
14,10,2006,19.53,13.77,85.27,1.06,11.39,0.30,1.34
15,10,2006,20.16,11.82,82.00,1.26,14.69,0.02,1.66
16,10,2006,22.67,11.24,79.39,1.30,16.91,0.00,1.51
17,10,2006,29.45,13.05,62.74,1.61,15.69,0.00,3.29
18,10,2006,27.20,16.97,74.22,1.31,11.70,3.05,2.18
19,10,2006,23.31,14.28,69.77,1.49,10.41,1.47,4.32
20,10,2006,23.02,14.37,70.17,1.32,14.07,0.00,3.01
21,10,2006,24.34,14.59,72.65,1.16,14.00,0.00,2.96
22,10,2006,28.61,12.88,68.50,1.23,14.53,0.00,1.35
23,10,2006,32.68,12.82,61.58,1.26,14.00,0.00,2.98
24,10,2006,27.99,16.78,64.97,0.85,14.26,0.00,1.83
25,10,2006,33.45,18.85,28.58,1.08,15.64,0.00,8.04
26,10,2006,31.73,20.08,35.36,0.70,14.60,0.00,7.82
27,10,2006,31.12,17.30,42.69,0.59,14.78,0.01,3.57
28,10,2006,30.08,13.85,55.37,0.54,15.10,0.00,1.70
29,10,2006,29.16,13.44,58.50,0.49,15.01,0.00,0.87
30,10,2006,28.71,13.05,40.51,0.53,14.95,0.00,1.56
31,10,2006,28.94,12.11,42.40,0.52,14.93,0.00,1.48
1,11,2006,27.79,12.29,55.03,0.48,14.87,0.00,1.20
2,11,2006,25.44,13.54,66.64,0.39,12.86,0.00,1.09
3,11,2006,18.08,15.64,87.29,0.39,2.72,3.91,1.59
4,11,2006,21.14,14.78,80.13,0.95,8.41,0.34,4.02
5,11,2006,19.54,12.25,73.43,0.91,13.27,0.00,7.07
6,11,2006,16.53,12.14,75.38,0.75,5.01,1.05,6.57
7,11,2006,17.17,12.44,71.98,0.94,7.92,0.91,7.18
8,11,2006,17.51,9.65,72.73,0.70,10.81,0.00,5.00
9,11,2006,18.40,7.10,81.25,0.64,12.16,0.34,1.33
10,11,2006,18.22,9.15,82.36,0.70,12.26,0.40,1.63
11,11,2006,15.35,11.92,94.74,0.45,2.88,2.47,1.80
12,11,2006,16.42,11.42,89.19,0.89,6.30,7.89,2.55
13,11,2006,15.96,9.35,87.49,0.90,6.57,2.80,2.40
14,11,2006,20.52,5.78,76.99,1.15,12.84,0.02,1.36
15,11,2006,21.17,5.82,76.16,1.29,13.01,0.00,3.63
16,11,2006,20.86,8.88,64.50,1.40,12.44,0.00,4.93
17,11,2006,20.25,8.13,76.93,0.77,6.75,0.73,2.87
18,11,2006,19.45,8.08,80.37,0.99,12.01,0.00,1.05
19,11,2006,23.26,6.86,72.30,1.06,12.56,0.00,1.55
20,11,2006,16.77,7.78,87.43,0.52,7.63,0.14,1.58
21,11,2006,17.55,10.12,80.05,0.73,9.95,0.24,4.10
22,11,2006,15.69,9.13,88.72,0.65,2.99,2.63,5.57
23,11,2006,18.80,6.37,82.27,0.89,11.49,0.00,2.43
24,11,2006,22.20,5.58,78.03,0.92,11.80,0.00,2.60
25,11,2006,24.45,5.57,69.15,1.05,11.16,0.00,3.94
26,11,2006,17.81,7.28,80.73,0.59,9.03,0.61,1.46
27,11,2006,17.04,9.68,89.95,0.61,7.98,0.25,1.27
28,11,2006,21.48,6.97,75.89,0.78,11.52,0.00,1.11
29,11,2006,15.05,8.46,91.62,0.23,2.44,4.72,1.28
30,11,2006,16.54,8.46,90.15,0.65,7.16,0.32,1.12
1,12,2006,18.05,6.91,83.33,0.77,10.70,0.00,1.06
2,12,2006,17.97,6.08,81.24,0.81,10.73,0.00,2.78
3,12,2006,16.62,6.83,84.39,0.59,8.21,0.44,2.17
4,12,2006,16.26,6.16,84.39,0.66,9.01,0.09,2.51
5,12,2006,19.60,5.38,77.00,0.81,11.14,0.00,1.96
6,12,2006,13.92,4.63,83.82,0.53,4.22,1.16,3.91
7,12,2006,13.57,6.57,79.21,0.72,7.53,0.67,3.57
8,12,2006,16.02,6.44,79.49,0.69,8.16,0.67,4.19
9,12,2006,12.57,5.29,78.17,0.88,9.81,0.97,3.92
10,12,2006,11.22,5.15,77.46,0.40,4.21,0.14,1.50
11,12,2006,14.81,3.90,82.66,0.63,10.83,0.01,1.77
12,12,2006,13.29,5.23,88.71,0.23,3.61,0.16,1.21
13,12,2006,11.93,8.31,98.06,0.06,0.69,47.95,3.85
14,12,2006,15.08,6.36,84.87,0.89,8.28,2.91,1.28
15,12,2006,12.50,4.35,86.31,0.60,4.52,1.58,2.42
16,12,2006,12.72,3.73,92.33,0.46,5.29,1.03,2.46
17,12,2006,12.10,10.35,97.48,0.21,1.36,4.73,4.60
18,12,2006,12.44,5.88,96.02,0.39,1.90,5.29,3.24
19,12,2006,14.12,3.64,85.78,0.95,10.24,0.02,1.73
20,12,2006,15.00,2.86,81.47,0.95,9.51,0.83,3.09
21,12,2006,13.16,4.57,82.91,0.76,6.99,0.91,1.08
22,12,2006,10.72,2.11,95.22,0.35,4.23,8.02,0.87
23,12,2006,14.30,6.09,87.89,0.97,8.31,12.89,2.66
24,12,2006,11.15,6.07,91.20,0.81,5.43,5.16,2.74
25,12,2006,9.32,5.68,91.57,0.54,1.73,4.47,4.51
26,12,2006,11.36,8.87,96.69,0.28,1.93,7.69,2.04
27,12,2006,12.95,4.57,88.32,0.82,7.82,0.22,1.26
28,12,2006,13.83,1.06,81.42,0.94,10.14,0.00,3.05
29,12,2006,13.51,0.44,81.34,0.95,10.10,0.00,3.50
30,12,2006,13.75,0.20,85.50,0.84,10.89,0.03,1.18
31,12,2006,15.42,1.99,82.15,0.88,10.99,0.00,0.97
1,1,2007,16.05,1.00,82.76,0.98,10.81,0.00,2.73
2,1,2007,14.17,0.95,87.86,0.69,8.78,0.41,2.38
3,1,2007,11.20,4.74,92.17,0.54,4.82,0.83,1.35
4,1,2007,16.52,0.83,80.21,0.99,10.98,0.01,1.66
5,1,2007,14.21,2.72,86.39,0.90,10.83,0.06,2.14
6,1,2007,14.22,1.33,88.73,0.83,10.67,0.16,1.44
7,1,2007,13.75,2.55,91.38,0.81,10.47,0.09,1.45
8,1,2007,12.40,3.93,91.24,0.67,7.80,0.23,2.19
9,1,2007,16.02,3.07,81.74,0.96,11.32,0.02,1.33
10,1,2007,19.13,1.64,79.26,1.02,11.58,0.00,2.27
11,1,2007,16.08,2.68,87.32,0.84,11.01,0.27,1.23
12,1,2007,13.12,3.84,85.32,0.87,11.14,0.05,0.90
13,1,2007,19.83,1.56,70.86,1.09,12.42,0.00,0.95
14,1,2007,16.35,0.94,80.68,0.99,12.28,0.16,1.01
15,1,2007,15.37,5.68,82.36,0.70,7.59,0.05,0.64
16,1,2007,15.93,3.88,87.07,0.92,10.81,0.19,1.31
17,1,2007,15.27,5.02,89.60,0.95,11.94,0.06,1.24
18,1,2007,14.64,5.10,88.35,0.86,12.12,0.03,1.01
19,1,2007,17.83,3.23,76.65,1.07,12.36,0.00,0.86
20,1,2007,21.11,4.64,67.09,1.22,12.66,0.00,0.99
21,1,2007,20.37,4.42,74.82,1.03,9.91,0.00,2.17
22,1,2007,16.85,2.55,83.95,0.85,11.03,0.00,1.99
23,1,2007,11.21,3.35,84.34,0.53,2.60,2.02,4.41
24,1,2007,9.57,1.86,81.13,0.91,8.55,1.38,3.38
25,1,2007,10.80,-1.69,77.39,1.10,12.07,0.20,3.03
26,1,2007,7.81,0.21,75.47,1.03,11.17,0.81,4.23
27,1,2007,8.46,2.41,87.20,0.77,5.69,6.77,3.35
28,1,2007,10.63,1.87,82.44,0.95,9.97,0.14,1.91
29,1,2007,14.86,-0.02,78.60,0.99,9.63,3.16,2.60
30,1,2007,12.75,7.57,92.83,0.78,7.05,4.87,1.55
31,1,2007,11.07,7.12,93.65,0.42,2.64,4.63,1.09
